Pattern 02: The Melody

(Choose one of these.)

Row: [Ch 1]       | [Ch 2]       | [Ch 3]       | [Ch 4]
00: F-3 04 C40    | C-4 08 C40   | C-5 06 C40   | C-4 01 C40
02: -             | C-4 03 C10   | --- -- 484   | -
04: -             | C-4 02 C40   | -            | -
06: -             | C-4 03 C10   | D#5 06 C40   | -
07: -             | -            | -            | C-4 01 C40
08: -             | C-4 03 C20   | --- -- 484   | -
0A: -             | C-4 03 C10   | -            | C-4 01 C30
0C: -             | C-4 02 C40   | F-5 06 C40   | -
0E: -             | C-4 03 C10   | --- -- 484   | -
10: G-3 04 C40    | C-4 03 C20   | G-5 06 C40   | C-4 01 C40
12: -             | C-4 03 C10   | --- -- 484   | -
14: -             | C-4 02 C40   | -            | -
16: -             | C-4 03 C10   | -            | -
18: -             | C-4 03 C20   | C-6 06 C40   | C-4 01 C40
1A: -             | -            | --- -- 484   | -
1C: -             | C-4 02 C40   | G-5 06 C40   | -
1E: -             | C-4 03 C10   | --- -- 484   | C-4 01 C30
20: F-3 04 C40    | C-4 03 C20   | F-5 06 C40   | C-4 01 C40
22: -             | C-4 03 C10   | --- -- 484   | -
24: -             | C-4 02 C40   | -            | -
26: -             | C-4 03 C10   | -            | -
27: -             | -            | -            | C-4 01 C40
28: -             | C-4 03 C20   | D#5 06 C40   | -
2A: -             | C-4 03 C10   | --- -- 484   | C-4 01 C30
2C: -             | C-4 02 C40   | D-5 06 C40   | -
2E: -             | C-4 03 C10   | --- -- 484   | -
30: C-3 04 C40    | C-4 03 C20   | C-5 06 C40   | C-4 01 C40
32: -             | C-4 03 C10   | --- -- 484   | -
34: -             | C-4 02 C40   | -            | -
36: -             | C-4 03 C10   | -            | -
38: -             | C-4 03 C20   | A#4 06 C40   | C-4 01 C40
3A: -             | -            | --- -- 484   | -
3C: -             | C-4 02 C40   | C-5 06 C40   | -
3E: -             | C-4 03 C10   | --- -- 484   | -

Row: [Ch 1]       | [Ch 2]       | [Ch 3]       | [Ch 4]
00: F-3 04 C40    | C-4 08 C40   | C-4 06 C40   | C-4 01 C40
02: -             | C-4 03 C10   | --- -- 484   | -
04: -             | C-4 02 C40   | -            | -
06: -             | C-4 03 C10   | D#4 06 C40   | -
07: -             | -            | -            | C-4 01 C40
08: -             | C-4 03 C20   | --- -- 484   | -
10: -             | C-4 03 C10   | -            | C-4 01 C30
12: -             | C-4 02 C40   | F-4 06 C40   | -
14: -             | C-4 03 C10   | --- -- 484   | -
16: G-3 04 C40    | C-4 03 C20   | G-4 06 C40   | C-4 01 C40
18: -             | C-4 03 C10   | --- -- 484   | -
20: -             | C-4 02 C40   | -            | -
22: -             | C-4 03 C10   | -            | -
24: -             | C-4 03 C20   | C-5 06 C40   | C-4 01 C40
26: -             | -            | --- -- 484   | -
28: -             | C-4 02 C40   | G-4 06 C40   | -
30: -             | C-4 03 C10   | --- -- 484   | C-4 01 C30
32: F-3 04 C40    | C-4 03 C20   | F-4 06 C40   | C-4 01 C40
34: -             | C-4 03 C10   | --- -- 484   | -
36: -             | C-4 02 C40   | -            | -
38: -             | C-4 03 C10   | -            | -
39: -             | -            | -            | C-4 01 C40
40: -             | C-4 03 C20   | D#4 06 C40   | -
42: -             | C-4 03 C10   | --- -- 484   | C-4 01 C30
44: -             | C-4 02 C40   | D-4 06 C40   | -
46: -             | C-4 03 C10   | --- -- 484   | -
48: C-3 04 C40    | C-4 03 C20   | C-4 06 C40   | C-4 01 C40
50: -             | C-4 03 C10   | --- -- 484   | -
52: -             | C-4 02 C40   | -            | -
54: -             | C-4 03 C10   | -            | -
56: -             | C-4 03 C20   | A#3 06 C40   | C-4 01 C40
58: -             | -            | --- -- 484   | -
60: -             | C-4 02 C40   | C-4 06 C40   | -
62: -             | C-4 03 C10   | --- -- 484   | -
