Pattern 05: The Build-Up

The kick returns. The snare executes a classic tracker roll (rows 48-60) ramping up in volume to push us into the final climax, while the noise sweep simulates a riser.

(Rows to hex.)

Row: [Ch 1]       | [Ch 2]       | [Ch 3]       | [Ch 4]
00: F-3 04 C40    | -            | C-4 05 C38   | C-4 01 C40
08: -             | -            | -            | -
16: G-3 04 C40    | -            | -            | C-4 01 C40
24: -             | -            | -            | -
32: F-3 04 C40    | -            | D-4 05 C40   | C-4 01 C40
40: -             | -            | -            | C-4 07 C10
48: C-3 04 C40    | C-4 02 C10   | -            | C-4 01 C40
50: -             | C-4 02 C18   | -            | -
52: -             | C-4 02 C20   | -            | -
54: -             | C-4 02 C28   | -            | --- -- C20
56: -             | C-4 02 C30   | -            | C-4 01 C40
58: -             | C-4 02 C38   | -            | -
60: -             | C-4 02 C40   | -            | --- -- C38
62: -             | C-4 02 C40   | -            | -
