Pattern 06: The Climax (Lead Arp)

Full energy. The Pad drops out again, replaced by a faster, rhythmic 16th-note lead pattern using the 06 placeholder.

(Rows to hex.)

Row: [Ch 1]       | [Ch 2]       | [Ch 3]       | [Ch 4]
00: F-3 04 C40    | C-4 08 C40   | C-5 06 C40   | C-4 01 C40
04: -             | C-4 02 C40   | G-4 06 C30   | -
08: -             | C-4 03 C20   | D#4 06 C40   | -
12: -             | C-4 02 C40   | G-4 06 C30   | -
16: G-3 04 C40    | C-4 03 C20   | D-5 06 C40   | C-4 01 C40
20: -             | C-4 02 C40   | G-4 06 C30   | -
24: -             | C-4 03 C20   | F-4 06 C40   | C-4 01 C40
28: -             | C-4 02 C40   | G-4 06 C30   | -
32: F-3 04 C40    | C-4 03 C20   | C-5 06 C40   | C-4 01 C40
36: -             | C-4 02 C40   | G-4 06 C30   | -
40: -             | C-4 03 C20   | D#4 06 C40   | -
44: -             | C-4 02 C40   | G-4 06 C30   | -
48: C-3 04 C40    | C-4 03 C20   | A#4 06 C40   | C-4 01 C40
52: -             | C-4 02 C40   | F-4 06 C30   | -
56: -             | C-4 03 C20   | D-4 06 C40   | C-4 01 C40
60: -             | C-4 02 C40   | F-4 06 C30   | -
